paper_id	catalog_title	preprint_title	publication_title	arxiv_id	arxiv_version	publication_doi	relation_status
P0207	Dense Hierarchical Retrieval for Open-Domain Question Answering	Dense Hierarchical Retrieval for Open-Domain Question Answering		2110.15439	1		no_publication_relation_verified
P0208	The Curse of Dense Low-Dimensional Information Retrieval for Large Index Sizes	The Curse of Dense Low-Dimensional Information Retrieval for Large Index Sizes		2012.14210	2		no_publication_relation_verified
P0209	Predicting Efficiency/Effectiveness Trade-offs for Dense vs. Sparse Retrieval Strategy Selection	Predicting Efficiency/Effectiveness Trade-offs for Dense vs. Sparse Retrieval Strategy Selection		2109.10739	1		no_publication_relation_verified
P0210	Boosted Dense Retriever	Boosted Dense Retriever		2112.07771	1		no_publication_relation_verified
P0211	PARM: A Paragraph Aggregation Retrieval Model for Dense Document-to-Document Retrieval	PARM: A Paragraph Aggregation Retrieval Model for Dense Document-to-Document Retrieval		2201.01614	2		no_publication_relation_verified
P0212	Sparsifying Sparse Representations for Passage Retrieval by Top-k Masking	Sparsifying Sparse Representations for Passage Retrieval by Top-$k$ Masking		2112.09628	1		no_publication_relation_verified
P0213	Improving Document Representations by Generating Pseudo Query Embeddings for Dense Retrieval	Improving Document Representations by Generating Pseudo Query Embeddings for Dense Retrieval		2105.03599	2		no_publication_relation_verified
P0214	ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction	ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction	ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction	2112.01488	3	10.18653/v1/2022.naacl-main.272	verified_primary_version_map
P0215	GNN-encoder: Learning a Dual-encoder Architecture via Graph Neural Networks for Dense Passage Retrieval	GNN-encoder: Learning a Dual-encoder Architecture via Graph Neural Networks for Dense Passage Retrieval		2204.08241	2		no_publication_relation_verified
P0216	Sentence-aware Contrastive Learning for Open-Domain Passage Retrieval	Sentence-aware Contrastive Learning for Open-Domain Passage Retrieval				10.18653/v1/2022.acl-long.76	no_publication_relation_verified
P0217	Aggretriever: A Simple Approach to Aggregate Textual Representations for Robust Dense Passage Retrieval	Aggretriever: A Simple Approach to Aggregate Textual Representations for Robust Dense Passage Retrieval		2208.00511	2		no_publication_relation_verified
P0218	DPTDR: Deep Prompt Tuning for Dense Passage Retrieval	DPTDR: Deep Prompt Tuning for Dense Passage Retrieval		2208.11503	1		no_publication_relation_verified
P0219	LED: Lexicon-Enlightened Dense Retriever for Large-Scale Retrieval	LED: Lexicon-Enlightened Dense Retriever for Large-Scale Retrieval		2208.13661	2		no_publication_relation_verified
P0220	Task-Aware Specialization for Efficient and Robust Dense Retrieval for Open-Domain Question Answering	Task-Aware Specialization for Efficient and Robust Dense Retrieval for Open-Domain Question Answering		2210.05156	2		no_publication_relation_verified
P0221	COIL: Revisit Exact Lexical Match in Information Retrieval with Contextualized Inverted List	COIL: Revisit Exact Lexical Match in Information Retrieval with Contextualized Inverted List		2104.07186	1		no_publication_relation_verified
P0222	A Few Brief Notes on DeepImpact, COIL, and a Conceptual Framework for Information Retrieval Techniques	A Few Brief Notes on DeepImpact, COIL, and a Conceptual Framework for Information Retrieval Techniques		2106.14807	1		no_publication_relation_verified
P0223	Pseudo Relevance Feedback with Deep Language Models and Dense Retrievers: Successes and Pitfalls	Pseudo Relevance Feedback with Deep Language Models and Dense Retrievers: Successes and Pitfalls		2108.11044	2		no_publication_relation_verified
P0224	Improving Query Representations for Dense Retrieval with Pseudo Relevance Feedback	Improving Query Representations for Dense Retrieval with Pseudo Relevance Feedback		2108.13454	1		no_publication_relation_verified
P0225	Pseudo-Relevance Feedback for Multiple Representation Dense Retrieval	Pseudo-Relevance Feedback for Multiple Representation Dense Retrieval		2106.11251	2		no_publication_relation_verified
P0226	Improving Query Representations for Dense Retrieval with Pseudo Relevance Feedback: A Reproducibility Study	Improving Query Representations for Dense Retrieval with Pseudo Relevance Feedback: A Reproducibility Study		2112.06400	2		no_publication_relation_verified
P0227	Implicit Feedback for Dense Passage Retrieval: A Counterfactual Approach	Implicit Feedback for Dense Passage Retrieval: A Counterfactual Approach		2204.00718	2		no_publication_relation_verified
P0228	Parameter-Efficient Prompt Tuning Makes Generalized and Calibrated Neural Text Retrievers	Parameter-Efficient Prompt Tuning Makes Generalized and Calibrated Neural Text Retrievers		2207.07087	1		no_publication_relation_verified
P0229	Densifying Sparse Representations for Passage Retrieval by Representational Slicing	Densifying Sparse Representations for Passage Retrieval by Representational Slicing		2112.04666	1		no_publication_relation_verified
P0230	SPLADE: Sparse Lexical and Expansion Model for First Stage Ranking	SPLADE: Sparse Lexical and Expansion Model for First Stage Ranking	SPLADE: Sparse Lexical and Expansion Model for First Stage Ranking	2107.05720	1	10.1145/3404835.3463098	verified_primary_version_map
P0231	SPLADE v2: Sparse Lexical and Expansion Model for Information Retrieval	SPLADE v2: Sparse Lexical and Expansion Model for Information Retrieval		2109.10086	1		no_publication_relation_verified
P0232	BERT-based Dense Retrievers Require Interpolation with BM25 for Effective Passage Retrieval	BERT-based Dense Retrievers Require Interpolation with BM25 for Effective Passage Retrieval				10.1145/3471158.3472233	no_publication_relation_verified
P0233	A White Box Analysis of ColBERT	A White Box Analysis of ColBERT		2012.09650	1		no_publication_relation_verified
P0234	Towards Axiomatic Explanations for Neural Ranking Models	Towards Axiomatic Explanations for Neural Ranking Models		2106.08019	2		no_publication_relation_verified
P0235	ABNIRML: Analyzing the Behavior of Neural IR Models	ABNIRML: Analyzing the Behavior of Neural IR Models		2011.00696	2		no_publication_relation_verified
P0236	More Robust Dense Retrieval with Contrastive Dual Learning	More Robust Dense Retrieval with Contrastive Dual Learning		2107.07773	1		no_publication_relation_verified
P0237	PAIR: Leveraging Passage-Centric Similarity Relation for Improving Dense Passage Retrieval	PAIR: Leveraging Passage-Centric Similarity Relation for Improving Dense Passage Retrieval				10.18653/v1/2021.findings-acl.191	no_publication_relation_verified
P0238	xMoCo: Cross Momentum Contrastive Learning for Open-Domain Question Answering	xMoCo: Cross Momentum Contrastive Learning for Open-Domain Question Answering				10.18653/v1/2021.acl-long.477	no_publication_relation_verified
P0239	A Modern Perspective on Query Likelihood with Deep Generative Retrieval Models	A Modern Perspective on Query Likelihood with Deep Generative Retrieval Models		2106.13618	1		no_publication_relation_verified
P0240	Learning Diverse Document Representations with Deep Query Interactions for Dense Retrieval	Learning Diverse Document Representations with Deep Query Interactions for Dense Retrieval		2208.04232	1		no_publication_relation_verified
P0241	Shallow pooling for sparse labels	Shallow pooling for sparse labels		2109.00062	2		no_publication_relation_verified
P0242	Hard Negatives or False Negatives: Correcting Pooling Bias in Training Neural Ranking Models	Hard Negatives or False Negatives: Correcting Pooling Bias in Training Neural Ranking Models				10.1145/3511808.3557343	no_publication_relation_verified
P0243	Debiased Contrastive Learning of Unsupervised Sentence Representations	Debiased Contrastive Learning of Unsupervised Sentence Representations		2205.00656	1		no_publication_relation_verified
P0244	Learning To Retrieve: How to Train a Dense Retrieval Model Effectively and Efficiently	Learning To Retrieve: How to Train a Dense Retrieval Model Effectively and Efficiently		2010.10469	1		no_publication_relation_verified
P0245	Dense Passage Retrieval for Open-Domain Question Answering	Dense Passage Retrieval for Open-Domain Question Answering	Dense Passage Retrieval for Open-Domain Question Answering	2004.04906	3	10.18653/v1/2020.emnlp-main.550	verified_primary_version_map
P0246	RepBERT: Contextualized Text Embeddings for First-Stage Retrieval	RepBERT: Contextualized Text Embeddings for First-Stage Retrieval		2006.15498	2		no_publication_relation_verified
P0247	Approximate Nearest Neighbor Negative Contrastive Learning for Dense Text Retrieval	Approximate Nearest Neighbor Negative Contrastive Learning for Dense Text Retrieval		2007.00808	2		no_publication_relation_verified
P0248	Optimizing Dense Retrieval Model Training with Hard Negatives	Optimizing Dense Retrieval Model Training with Hard Negatives		2104.08051	1		no_publication_relation_verified
P0249	Neural Passage Retrieval with Improved Negative Contrast	Neural Passage Retrieval with Improved Negative Contrast		2010.12523	1		no_publication_relation_verified
P0250	RocketQA: An Optimized Training Approach to Dense Passage Retrieval for Open-Domain Question Answering	RocketQA: An Optimized Training Approach to Dense Passage Retrieval for Open-Domain Question Answering		2010.08191	2		no_publication_relation_verified
P0251	Efficiently Teaching an Effective Dense Retriever with Balanced Topic Aware Sampling	Efficiently Teaching an Effective Dense Retriever with Balanced Topic Aware Sampling		2104.06967	2		no_publication_relation_verified
P0252	Scaling deep contrastive learning batch size under memory limited setup	Scaling Deep Contrastive Learning Batch Size under Memory Limited Setup		2101.06983	2		no_publication_relation_verified
P0253	Multi-stage training with improved negative contrast for neural passage retrieval	Multi-stage Training with Improved Negative Contrast for Neural Passage Retrieval				10.18653/v1/2021.emnlp-main.492	no_publication_relation_verified
P0254	Learning robust dense retrieval models from incomplete relevance labels	Learning Robust Dense Retrieval Models from Incomplete Relevance Labels				10.1145/3404835.3463106	no_publication_relation_verified
P0255	Efficient Training of Retrieval Models Using Negative Cache	Efficient Training of Retrieval Models using Negative Cache					no_publication_relation_verified
P0256	CODER: An efficient framework for improving retrieval through COntextual Document Embedding Reranking	CODER: An efficient framework for improving retrieval through COntextual Document Embedding Reranking		2112.08766	3		no_publication_relation_verified
P0257	Curriculum Learning for Dense Retrieval Distillation	Curriculum Learning for Dense Retrieval Distillation		2204.13679	1		no_publication_relation_verified
P0258	SimANS: Simple Ambiguous Negatives Sampling for Dense Text Retrieval	SimANS: Simple Ambiguous Negatives Sampling for Dense Text Retrieval		2210.11773	2		no_publication_relation_verified
P0259	UniK-QA: Unified Representations of Structured and Unstructured Knowledge for Open-Domain Question Answering	UniK-QA: Unified Representations of Structured and Unstructured Knowledge for Open-Domain Question Answering		2012.14610	3		no_publication_relation_verified
P0260	Augmented SBERT: Data Augmentation Method for Improving Bi-Encoders for Pairwise Sentence Scoring Tasks	Augmented SBERT: Data Augmentation Method for Improving Bi-Encoders for Pairwise Sentence Scoring Tasks		2010.08240	2		no_publication_relation_verified
P0261	Is Retriever Merely an Approximator of Reader?	Is Retriever Merely an Approximator of Reader?		2010.10999	1		no_publication_relation_verified
P0262	Distilling Knowledge from Reader to Retriever for Question Answering	Distilling Knowledge from Reader to Retriever for Question Answering			2		no_publication_relation_verified
P0263	Distilling Knowledge for Fast Retrieval-based Chat-bots	Distilling Knowledge for Fast Retrieval-based Chat-bots		2004.11045	1		no_publication_relation_verified
P0264	Improving Efficient Neural Ranking Models with Cross-Architecture Knowledge Distillation	Improving Efficient Neural Ranking Models with Cross-Architecture Knowledge Distillation		2010.02666	2		no_publication_relation_verified
P0265	Distilling Dense Representations for Ranking using Tightly-Coupled Teachers	Distilling Dense Representations for Ranking using Tightly-Coupled Teachers		2010.11386	1		no_publication_relation_verified
P0266	In-Batch Negatives for Knowledge Distillation with Tightly-Coupled Teachers for Dense Retrieval	In-Batch Negatives for Knowledge Distillation with Tightly-Coupled Teachers for Dense Retrieval				10.18653/v1/2021.repl4nlp-1.17	no_publication_relation_verified
P0267	Neural Retrieval for Question Answering with Cross-Attention Supervised Data Augmentation	Neural Retrieval for Question Answering with Cross-Attention Supervised Data Augmentation		2009.13815	1		no_publication_relation_verified
P0268	Enhancing Dual-Encoders with Question and Answer Cross-Embeddings for Answer Retrieval	Enhancing Dual-Encoders with Question and Answer Cross-Embeddings for Answer Retrieval				10.18653/v1/2021.findings-emnlp.198	no_publication_relation_verified
P0269	Pseudo Label based Contrastive Sampling for Long Text Retrieval	Pseudo Label based Contrastive Sampling for Long Text Retrieval				10.1109/ialp54817.2021.9675219	no_publication_relation_verified
P0270	Multi-View Document Representation Learning for Open-Domain Dense Retrieval	Multi-View Document Representation Learning for Open-Domain Dense Retrieval		2203.08372	1		no_publication_relation_verified
P0271	Augmenting Document Representations for Dense Retrieval with Interpolation and Perturbation	Augmenting Document Representations for Dense Retrieval with Interpolation and Perturbation		2203.07735	2		no_publication_relation_verified
P0272	ERNIE-Search: Bridging Cross-Encoder with Dual-Encoder via Self On-the-fly Distillation for Dense Passage Retrieval	ERNIE-Search: Bridging Cross-Encoder with Dual-Encoder via Self On-the-fly Distillation for Dense Passage Retrieval		2205.09153	1		no_publication_relation_verified
P0273	Pro-KD: Progressive Distillation by Following the Footsteps of the Teacher	Pro-KD: Progressive Distillation by Following the Footsteps of the Teacher		2110.08532	1		no_publication_relation_verified
P0274	Questions Are All You Need to Train a Dense Passage Retriever	Questions Are All You Need to Train a Dense Passage Retriever		2206.10658	4		no_publication_relation_verified
P0275	PROD: Progressive Distillation for Dense Retrieval	PROD: Progressive Distillation for Dense Retrieval		2209.13335	3		no_publication_relation_verified
P0276	Answering Open-Domain Questions of Varying Reasoning Steps from Text	Answering Open-Domain Questions of Varying Reasoning Steps from Text		2010.12527	4		no_publication_relation_verified
P0277	Multi-Task Retrieval for Knowledge-Intensive Tasks	Multi-task Retrieval for Knowledge-Intensive Tasks		2101.00117	1		no_publication_relation_verified
P0278	Latent Retrieval for Weakly Supervised Open Domain Question Answering	Latent Retrieval for Weakly Supervised Open Domain Question Answering		1906.00300	3		no_publication_relation_verified
P0279	Pre-training Tasks for Embedding-based Large-scale Retrieval	Pre-training Tasks for Embedding-based Large-scale Retrieval		2002.03932	1		no_publication_relation_verified
P0280	PROP: Pre-training with Representative Words Prediction for Ad-hoc Retrieval	PROP: Pre-training with Representative Words Prediction for Ad-hoc Retrieval		2010.10137	3		no_publication_relation_verified
P0281	B-PROP: Bootstrapped Pre-training with Representative Words Prediction for Ad-hoc Retrieval	B-PROP: Bootstrapped Pre-training with Representative Words Prediction for Ad-hoc Retrieval		2104.09791	4		no_publication_relation_verified
P0282	Domain-matched Pre-training Tasks for Dense Retrieval	Domain-matched Pre-training Tasks for Dense Retrieval		2107.13602	1		no_publication_relation_verified
P0283	Less is More: Pre-train a Strong Text Encoder for Dense Retrieval Using a Weak Decoder	Less is More: Pre-train a Strong Text Encoder for Dense Retrieval Using a Weak Decoder		2102.09206	3		no_publication_relation_verified
P0284	Sentence-T5: Scalable Sentence Encoders from Pre-trained Text-to-Text Models	Sentence-T5: Scalable Sentence Encoders from Pre-trained Text-to-Text Models		2108.08877	3		no_publication_relation_verified
P0285	Unsupervised Corpus Aware Language Model Pre-training for Dense Passage Retrieval	Unsupervised Corpus Aware Language Model Pre-training for Dense Passage Retrieval		2108.05540	1		no_publication_relation_verified
P0286	Condenser: a Pre-training Architecture for Dense Retrieval	Condenser: a Pre-training Architecture for Dense Retrieval		2104.08253	2		no_publication_relation_verified
P0287	TSDAE: Using Transformer-based Sequential Denoising Auto-Encoder for Unsupervised Sentence Embedding Learning	TSDAE: Using Transformer-based Sequential Denoising Auto-Encoder for Unsupervised Sentence Embedding Learning		2104.06979	3		no_publication_relation_verified
P0288	SimCSE: Simple Contrastive Learning of Sentence Embeddings	SimCSE: Simple Contrastive Learning of Sentence Embeddings		2104.08821	4		no_publication_relation_verified
P0289	Towards Robust Neural Retrieval Models with Synthetic Pre-Training	Towards Robust Neural Retrieval Models with Synthetic Pre-Training		2104.07800	1		no_publication_relation_verified
P0290	Hyperlink-induced Pre-training for Passage Retrieval in Open-domain Question Answering	Hyperlink-induced Pre-training for Passage Retrieval in Open-domain Question Answering		2203.06942	2		no_publication_relation_verified
P0291	Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks	Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks	Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks	1908.10084	1	10.18653/v1/d19-1410	verified_primary_version_map
P0292	Introducing Neural Bag of Whole-Words with ColBERTer: Contextualized Late Interactions using Enhanced Reduction	Introducing Neural Bag of Whole-Words with ColBERTer: Contextualized Late Interactions using Enhanced Reduction		2203.13088	1		no_publication_relation_verified
P0293	Learning to Retrieve Passages without Supervision	Learning to Retrieve Passages without Supervision		2112.07708	2		no_publication_relation_verified
P0294	Text and Code Embeddings by Contrastive Pre-Training	Text and Code Embeddings by Contrastive Pre-Training		2201.10005	1		no_publication_relation_verified
P0295	Pre-train a Discriminative Text Encoder for Dense Retrieval via Contrastive Span Prediction	Pre-train a Discriminative Text Encoder for Dense Retrieval via Contrastive Span Prediction		2204.10641	1		no_publication_relation_verified
P0296	RetroMAE: Pre-Training Retrieval-oriented Language Models Via Masked Auto-Encoder	RetroMAE: Pre-Training Retrieval-oriented Language Models Via Masked Auto-Encoder		2205.12035	2		no_publication_relation_verified
P0297	SIMLM: Pre-training with Representation Bottleneck for Dense Passage Retrieval	SimLM: Pre-training with Representation Bottleneck for Dense Passage Retrieval		2207.02578	2		no_publication_relation_verified
P0298	Masked Autoencoders As The Unified Learners For Pre-Trained Sentence Representation	Masked Autoencoders As The Unified Learners For Pre-Trained Sentence Representation		2208.00231	1		no_publication_relation_verified
P0299	LEXMAE: Lexicon-Bottlenecked Pretraining for Large-scale Retrieval	LexMAE: Lexicon-Bottlenecked Pretraining for Large-Scale Retrieval		2208.14754	2		no_publication_relation_verified
P0300	PAQ: 65 Million Probably-Asked Questions and What You Can Do With Them	PAQ: 65 Million Probably-Asked Questions and What You Can Do With Them				10.1162/tacl_a_00415	no_publication_relation_verified
P0301	End-to-End Synthetic Data Generation for Domain Adaptation of Question Answering Systems	End-to-End Synthetic Data Generation for Domain Adaptation of Question Answering Systems		2010.06028	1		no_publication_relation_verified
P0302	ConTextual Masked Auto-Encoder for Dense Passage Retrieval	ConTextual Masked Auto-Encoder for Dense Passage Retrieval		2208.07670	3		no_publication_relation_verified
P0303	A Contrastive Pre-training Approach to Learn Discriminative Autoencoder for Dense Retrieval	A Contrastive Pre-training Approach to Learn Discriminative Autoencoder for Dense Retrieval		2208.09846	1		no_publication_relation_verified
P0304	Learning Passage Impacts for Inverted Indexes	Learning Passage Impacts for Inverted Indexes		2104.12016	1		no_publication_relation_verified
P0305	Accelerating Large-Scale Inference with Anisotropic Vector Quantization	Accelerating Large-Scale Inference with Anisotropic Vector Quantization		1908.10396	5		no_publication_relation_verified
P0306	Jointly Optimizing Query Encoder and Product Quantization to Improve Retrieval Performance	Jointly Optimizing Query Encoder and Product Quantization to Improve Retrieval Performance		2108.00644	2		no_publication_relation_verified
P0307	Learning Discrete Representations via Constrained Clustering for Effective and Efficient Dense Retrieval	Learning Discrete Representations via Constrained Clustering for Effective and Efficient Dense Retrieval				10.1145/3488560.3498443	no_publication_relation_verified
P0308	Joint Learning of Deep Retrieval Model and Product Quantization based Embedding Index	Joint Learning of Deep Retrieval Model and Product Quantization based Embedding Index		2105.03933	3		no_publication_relation_verified
P0309	Efficient Passage Retrieval with Hashing for Open-domain Question Answering	Efficient Passage Retrieval with Hashing for Open-domain Question Answering		2106.00882	1		no_publication_relation_verified
P0310	A Memory Efficient Baseline for Open Domain Question Answering	A Memory Efficient Baseline for Open Domain Question Answering		2012.15156	1		no_publication_relation_verified
P0311	Simple and Effective Unsupervised Redundancy Elimination to Compress Dense Vectors for Passage Retrieval	Simple and Effective Unsupervised Redundancy Elimination to Compress Dense Vectors for Passage Retrieval				10.18653/v1/2021.emnlp-main.227	no_publication_relation_verified
P0312	Matching-oriented Product Quantization For Ad-hoc Retrieval	Matching-oriented Product Quantization For Ad-hoc Retrieval		2104.07858	3		no_publication_relation_verified
P0313	Progressively Optimized Bi-Granular Document Representation for Scalable Embedding Based Retrieval	Progressively Optimized Bi-Granular Document Representation for Scalable Embedding Based Retrieval		2201.05409	3		no_publication_relation_verified
P0314	Asymmetric LSH (ALSH) for Sublinear Time Maximum Inner Product Search (MIPS)	Asymmetric LSH (ALSH) for Sublinear Time Maximum Inner Product Search (MIPS)			1		no_publication_relation_verified
P0315	ANN-Benchmarks: A Benchmarking Tool for Approximate Nearest Neighbor Algorithms	ANN-Benchmarks: A Benchmarking Tool for Approximate Nearest Neighbor Algorithms		1807.05614	2		no_publication_relation_verified
P0316	Results of the NeurIPS'21 Challenge on Billion-Scale Approximate Nearest Neighbor Search	Results of the NeurIPS'21 Challenge on Billion-Scale Approximate Nearest Neighbor Search		2205.03763	1		no_publication_relation_verified
P0317	Interpreting Dense Retrieval as Mixture of Topics	Interpreting Dense Retrieval as Mixture of Topics		2111.13957	1		no_publication_relation_verified
P0318	The Web Is Your Oyster - Knowledge-Intensive NLP against a Very Large Web Corpus	The Web Is Your Oyster - Knowledge-Intensive NLP against a Very Large Web Corpus		2112.09924	2		no_publication_relation_verified
P0319	Hybrid Inverted Index Is a Robust Accelerator for Dense Retrieval	Hybrid Inverted Index Is a Robust Accelerator for Dense Retrieval		2210.05521	3		no_publication_relation_verified
P0320	RocketQAv2: A Joint Training Method for Dense Passage Retrieval and Passage Re-ranking	RocketQAv2: A Joint Training Method for Dense Passage Retrieval and Passage Re-ranking				10.18653/v1/2021.emnlp-main.224	no_publication_relation_verified
P0321	Dealing with Typos for BERT-based Passage Retrieval and Ranking	Dealing with Typos for BERT-based Passage Retrieval and Ranking		2108.12139	2		no_publication_relation_verified
P0322	Trans-Encoder: Unsupervised sentence-pair modelling through self- and mutual-distillations	Trans-Encoder: Unsupervised sentence-pair modelling through self- and mutual-distillations		2109.13059	4		no_publication_relation_verified
P0323	Adversarial Retriever-Ranker for dense text retrieval	Adversarial Retriever-Ranker for dense text retrieval		2110.03611	5		no_publication_relation_verified
P0324	Embedding-based Retrieval in Facebook Search	Embedding-based Retrieval in Facebook Search				10.1145/3394486.3403305	no_publication_relation_verified
P0325	Passage Re-ranking With BERT	Passage Re-ranking with BERT		1901.04085	5		no_publication_relation_verified
P0326	Understanding the Behaviors of BERT in Ranking	Understanding the Behaviors of BERT in Ranking		1904.07531	4		no_publication_relation_verified
P0327	Multi-passage BERT: A Globally Normalized BERT Model for Open-domain Question Answering	Multi-passage BERT: A Globally Normalized BERT Model for Open-domain Question Answering		1908.08167	2		no_publication_relation_verified
P0328	Towards Robust Ranker for Text Retrieval	Towards Robust Ranker for Text Retrieval		2206.08063	1		no_publication_relation_verified
P0329	Rethink Training of BERT Rerankers in Multi-Stage Retrieval Pipeline	Rethink Training of BERT Rerankers in Multi-Stage Retrieval Pipeline		2101.08751	1		no_publication_relation_verified
P0330	Multi-Stage Document Ranking with BERT	Multi-Stage Document Ranking with BERT		1910.14424	1		no_publication_relation_verified
P0331	BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models	BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models		2104.08663	4		no_publication_relation_verified
P0332	A Thorough Examination on Zero-shot Dense Retrieval	A Thorough Examination on Zero-shot Dense Retrieval		2204.12755	2		no_publication_relation_verified
P0333	Challenges in Generalization in Open Domain Question Answering	Challenges in Generalization in Open Domain Question Answering		2109.01156	3		no_publication_relation_verified
P0334	Zero-shot Neural Passage Retrieval via Domain-targeted Synthetic Question Generation	Zero-shot Neural Passage Retrieval via Domain-targeted Synthetic Question Generation		2004.14503	3		no_publication_relation_verified
P0335	Efficient Retrieval Optimized Multi-task Learning	Efficient Retrieval Optimized Multi-task Learning		2104.10129	1		no_publication_relation_verified
P0336	Zero-Shot Dense Retrieval with Momentum Adversarial Domain Invariant Representations	Zero-Shot Dense Retrieval with Momentum Adversarial Domain Invariant Representations		2110.07581	1		no_publication_relation_verified
P0337	Embedding-based Zero-shot Retrieval through Query Generation	Embedding-based Zero-shot Retrieval through Query Generation		2009.10270	1		no_publication_relation_verified
P0338	GPL: Generative Pseudo Labeling for Unsupervised Domain Adaptation of Dense Retrieval	GPL: Generative Pseudo Labeling for Unsupervised Domain Adaptation of Dense Retrieval	GPL: Generative Pseudo Labeling for Unsupervised Domain Adaptation of Dense Retrieval	2112.07577	3	10.18653/v1/2022.naacl-main.168	verified_primary_version_map
P0339	Salient Phrase Aware Dense Retrieval: Can a Dense Retriever Imitate a Sparse One?	Salient Phrase Aware Dense Retrieval: Can a Dense Retriever Imitate a Sparse One?		2110.06918	3		no_publication_relation_verified
P0340	LaPraDoR: Unsupervised Pretrained Dense Retriever for Zero-Shot Text Retrieval	LaPraDoR: Unsupervised Pretrained Dense Retriever for Zero-Shot Text Retrieval		2203.06169	2		no_publication_relation_verified
P0341	Out-of-Domain Semantics to the Rescue! Zero-Shot Hybrid Retrieval Models	Out-of-Domain Semantics to the Rescue! Zero-Shot Hybrid Retrieval Models		2201.10582	1		no_publication_relation_verified
P0342	Unsupervised Dense Information Retrieval with Contrastive Learning	Unsupervised Dense Information Retrieval with Contrastive Learning		2112.09118	4		no_publication_relation_verified
P0343	Large Dual Encoders Are Generalizable Retrievers	Large Dual Encoders Are Generalizable Retrievers		2112.07899	1		no_publication_relation_verified
P0344	KILT: a Benchmark for Knowledge Intensive Language Tasks	KILT: a Benchmark for Knowledge Intensive Language Tasks		2009.02252	4		no_publication_relation_verified
P0345	Promptagator: Few-shot Dense Retrieval From 8 Examples	Promptagator: Few-shot Dense Retrieval From 8 Examples		2209.11755	1		no_publication_relation_verified
P0346	Towards Robust Dense Retrieval via Local Ranking Alignment	Towards Robust Dense Retrieval via Local Ranking Alignment				10.24963/ijcai.2022/275	no_publication_relation_verified
P0347	CharacterBERT and Self-Teaching for Improving the Robustness of Dense Retrievers on Queries with Typos	CharacterBERT and Self-Teaching for Improving the Robustness of Dense Retrievers on Queries with Typos		2204.00716	2		no_publication_relation_verified
P0348	Evaluating the Robustness of Retrieval Pipelines with Query Variation Generators	Evaluating the Robustness of Retrieval Pipelines with Query Variation Generators		2111.13057	3		no_publication_relation_verified
P0349	Retrieval Consistency in the Presence of Query Variations	Retrieval Consistency in the Presence of Query Variations				10.1145/3077136.3080839	no_publication_relation_verified
P0350	Analysing the Robustness of Dual Encoders for Dense Retrieval Against Misspellings	Analysing the Robustness of Dual Encoders for Dense Retrieval Against Misspellings		2205.02303	1		no_publication_relation_verified
P0351	A Survey of Automatic Query Expansion in Information Retrieval	A Survey of Automatic Query Expansion in Information Retrieval				10.1145/2071389.2071390	no_publication_relation_verified
P0352	BERT Rankers are Brittle: a Study using Adversarial Document Perturbations	BERT Rankers are Brittle: a Study using Adversarial Document Perturbations		2206.11724	1		no_publication_relation_verified
P0353	Order-Disorder: Imitation Adversarial Attacks for Black-box Neural Ranking Models	Order-Disorder: Imitation Adversarial Attacks for Black-box Neural Ranking Models		2209.06506	2		no_publication_relation_verified
P0354	Transformer Memory as a Differentiable Search Index	Transformer Memory as a Differentiable Search Index		2202.06991	3		no_publication_relation_verified
P0355	DynamicRetriever: A Pre-training Model-based IR System with Neither Sparse nor Dense Index	DynamicRetriever: A Pre-training Model-based IR System with Neither Sparse nor Dense Index		2203.00537	1		no_publication_relation_verified
P0356	Autoregressive Search Engines: Generating Substrings as Document Identifiers	Autoregressive Search Engines: Generating Substrings as Document Identifiers		2204.10628	1		no_publication_relation_verified
P0357	Generative Multi-hop Retrieval	Generative Multi-hop Retrieval		2204.13596	3		no_publication_relation_verified
P0358	GERE: Generative Evidence Retrieval for Fact Verification	GERE: Generative Evidence Retrieval for Fact Verification		2204.05511	3		no_publication_relation_verified
P0359	Rethinking Search: Making Domain Experts out of Dilettantes	Rethinking Search: Making Domain Experts out of Dilettantes		2105.02274	2		no_publication_relation_verified
P0360	A Neural Corpus Indexer for Document Retrieval	A Neural Corpus Indexer for Document Retrieval		2206.02743	3		no_publication_relation_verified
P0361	Bridging the Gap Between Indexing and Retrieval for Differentiable Search Index with Query Generation	Bridging the Gap Between Indexing and Retrieval for Differentiable Search Index with Query Generation		2206.10128	3		no_publication_relation_verified
P0362	Ultron: An Ultimate Retriever on Corpus with a Model-based Indexer	Ultron: An Ultimate Retriever on Corpus with a Model-based Indexer		2208.09257	1		no_publication_relation_verified
P0363	CorpusBrain: Pre-train a Generative Retrieval Model for Knowledge-Intensive Language Tasks	CorpusBrain: Pre-train a Generative Retrieval Model for Knowledge-Intensive Language Tasks				10.1145/3511808.3557271	no_publication_relation_verified
