dataset_id	name	priority	resource_type	parent_id	family	official_url	original_license_status	original_license_gate	original_access_status	current_collection_decision	local_card_exists	parent_id_resolves	live_verification_scope	asset_download_scope	review_evidence_path	next_action
D062	AWS post-event summaries	P1	corpus_to_collect		AWS post-event summaries	https://aws.amazon.com/premiumsupport/technology/pes/	publisher_terms_review_required	HOLD_FOR_CLARIFICATION	public_postevent_landing	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D063	Cloudflare postmortems	P1	corpus_to_collect		Cloudflare postmortems	https://blog.cloudflare.com/tag/post-mortem/	publisher_terms_review_required	HOLD_FOR_CLARIFICATION	public_tag_landing	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D064	GitHub status history	P2	corpus_to_collect		GitHub status history	https://www.githubstatus.com/history	publisher_terms_review_required	HOLD_FOR_CLARIFICATION	public_history_landing	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D065	RCAEval RE1-OB — Online Boutique	P1	subset	D001	RCAEval	https://github.com/phamquiluan/RCAEval	explicit_data_and_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	author-pinned-HF-index-release-and-license-verified	none_by_dataset_agent	02_datasets/acquired/meta/source-registry.json	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D066	RCAEval RE1-SS — Sock Shop	P1	subset	D001	RCAEval	https://github.com/phamquiluan/RCAEval	explicit_data_and_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	author-pinned-HF-index-release-and-license-verified	none_by_dataset_agent	02_datasets/acquired/meta/source-registry.json	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D067	RCAEval RE1-TT — Train Ticket	P1	subset	D001	RCAEval	https://github.com/phamquiluan/RCAEval	explicit_data_and_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	author-pinned-HF-index-release-and-license-verified	none_by_dataset_agent	02_datasets/acquired/meta/source-registry.json	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D068	RCAEval RE2-OB — Online Boutique	P0	subset	D001	RCAEval	https://github.com/phamquiluan/RCAEval	explicit_data_and_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	selected_main_complete	True	True	author-pinned-HF-index-release-and-license-verified	90 complete cases	02_datasets/acquired/meta/source-registry.json	human relevance mapping and blinded qrel annotation; no invented labels
D069	RCAEval RE2-SS — Sock Shop	P1	subset	D001	RCAEval	https://github.com/phamquiluan/RCAEval	explicit_data_and_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	author-pinned-HF-index-release-and-license-verified	none_by_dataset_agent	02_datasets/acquired/meta/source-registry.json	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D070	RCAEval RE2-TT — Train Ticket	P1	subset	D001	RCAEval	https://github.com/phamquiluan/RCAEval	explicit_data_and_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	metadata_only_cross_system_reserve	True	True	author-pinned-HF-index-release-and-license-verified	none_by_dataset_agent	02_datasets/acquired/meta/source-registry.json	Hold full telemetry (1965747924 bytes); before cross-system evaluation inspect one missing file/modality in 359-file index and freeze pipeline.
D071	RCAEval RE3-OB — Online Boutique	P1	subset	D001	RCAEval	https://github.com/phamquiluan/RCAEval	explicit_data_and_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	author-pinned-HF-index-release-and-license-verified	none_by_dataset_agent	02_datasets/acquired/meta/source-registry.json	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D072	RCAEval RE3-SS — Sock Shop	P1	subset	D001	RCAEval	https://github.com/phamquiluan/RCAEval	explicit_data_and_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	author-pinned-HF-index-release-and-license-verified	none_by_dataset_agent	02_datasets/acquired/meta/source-registry.json	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D073	RCAEval RE3-TT — Train Ticket	P1	subset	D001	RCAEval	https://github.com/phamquiluan/RCAEval	explicit_data_and_code	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	author-pinned-HF-index-release-and-license-verified	none_by_dataset_agent	02_datasets/acquired/meta/source-registry.json	Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D074	Loghub / HDFS_v1	P1	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D075	Loghub / HDFS_v2	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D076	Loghub / HDFS_v3_TraceBench	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D077	Loghub / Hadoop	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D078	Loghub / Spark	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D079	Loghub / Zookeeper	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D080	Loghub / OpenStack	P1	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D081	Loghub / BGL	P1	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D082	Loghub / HPC	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D083	Loghub / Thunderbird	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D084	Loghub / Windows	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D085	Loghub / Linux	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D086	Loghub / Mac	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D087	Loghub / Android_v1	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D088	Loghub / Android_v2	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D089	Loghub / HealthApp	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D090	Loghub / Apache	P1	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D091	Loghub / OpenSSH	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D092	Loghub / Proxifier	P2	subset	D005	Loghub	https://github.com/logpai/loghub	custom_research_terms	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	defer_subset_not_selected_do_not_count_independently	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D093	LEMMA-RCA / Product Review	P1	subset	D004	LEMMA-RCA	https://lemma-rca.github.io/	conflict	HOLD_FOR_CLARIFICATION	public_dataset_cards; license_conflict_blocks_release_decision	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D094	LEMMA-RCA / Cloud Computing	P1	subset	D004	LEMMA-RCA	https://lemma-rca.github.io/	conflict	HOLD_FOR_CLARIFICATION	public_dataset_cards; license_conflict_blocks_release_decision	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D095	LEMMA-RCA / Water Treatment	P3	subset	D004	LEMMA-RCA	https://lemma-rca.github.io/	conflict	HOLD_FOR_CLARIFICATION	public_dataset_cards; license_conflict_blocks_release_decision	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D096	LEMMA-RCA / Water Distribution	P3	subset	D004	LEMMA-RCA	https://lemma-rca.github.io/	conflict	HOLD_FOR_CLARIFICATION	public_dataset_cards; license_conflict_blocks_release_decision	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D097	OpenRCA / Telecom	P1	subset	D002	OpenRCA	https://github.com/microsoft/OpenRCA	repo_only_external_data_unclear	HOLD_FOR_CLARIFICATION	public_repository; external_download_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D098	OpenRCA / Bank	P1	subset	D002	OpenRCA	https://github.com/microsoft/OpenRCA	repo_only_external_data_unclear	HOLD_FOR_CLARIFICATION	public_repository; external_download_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D099	OpenRCA / Market	P1	subset	D002	OpenRCA	https://github.com/microsoft/OpenRCA	repo_only_external_data_unclear	HOLD_FOR_CLARIFICATION	public_repository; external_download_not_tested	hold_existing_license_or_release_uncertainty	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D100	MTRAG-UN	P1	benchmark_version	D027	MTRAG	https://github.com/IBM/mt-rag-benchmark	repo_assets_with_upstream_caveat	REVIEW_UPSTREAM_AND_RELEASE	public_landing_and_file_or_download_listing; assets_not_tested	defer_not_required_by_selected_MVP	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D101	ITBench-Lite / SRE	P0	subset	D051	ITBench-Lite	https://huggingface.co/datasets/ibm-research/ITBench-Lite	explicit_dataset_card	REVIEW_STATED_TERMS_BEFORE_COLLECTION	public_landing_and_file_or_download_listing; assets_not_tested	alternative_track_primary_metadata_see_research_artifacts	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
D102	MTRAG / Cloud corpus	P0	subset	D027	MTRAG	https://github.com/IBM/mt-rag-benchmark	repo_assets_with_upstream_caveat	REVIEW_UPSTREAM_AND_RELEASE	public_landing_and_file_or_download_listing; assets_not_tested	alternative_track_primary_metadata_see_research_artifacts	True	True	not_reverified_this_execution; original card retained	none_by_dataset_agent		Đối chiếu giấy phép đúng phiên bản; ghi revision/ngày truy cập; chỉ sau đó tải mẫu nhỏ để kiểm tra schema và nhãn.
